"LokalID"	"predator"	"Lokal"	"Individ"	"n_shoots"	"h_shoot"	"n_fl"	"phen_index"	"most_adv"	"n_eggs"	"n_pred_all"	"n_aborted_all"	"perc_undeveloped"	"n_intact_fruits"	"n_seeds"	"attack"	"date"	"date_julian"	"year"	"apply_to_phen_1ago"	"phen_corr"
"34"	"Ale001"	1	"Bockemossen"	34	2	16	1	3	3	0	1	0	100	0	0	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"35"	"Ale001"	1	"Bockemossen"	35	9	19,5	3	1,666666667	3	0	0	0	NA	3	390	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"36"	"Ale001"	1	"Bockemossen"	36	3	22,2	1	3	3	0	1	0	0	0	0	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"37"	"Ale001"	1	"Bockemossen"	37	3	14,1	1	3	3	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"38"	"Ale001"	1	"Bockemossen"	38	1	13,4	1	2	2	0	0	0	NA	1	90	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"39"	"Ale001"	1	"Bockemossen"	39	1	22,5	5	3,2	5	0	4	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	5,285714286
"40"	"Ale001"	1	"Bockemossen"	40	2	15,9	1	3	3	0	1	0	100	0	0	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"41"	"Ale001"	1	"Bockemossen"	41	2	21,6	4	2,25	3	0	3	0	NA	2	740	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"42"	"Ale001"	1	"Bockemossen"	42	2	13,6	2	2,5	4	0	2	0	100	0	0	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"43"	"Ale001"	1	"Bockemossen"	43	2	14	1	1	1	0	0	0	NA	1	420	0	"30/07/2010"	211	2010	0,285714286	1,285714286
"44"	"Ale001"	1	"Bockemossen"	44	5	13,9	2	2	3	0	1	0	NA	1	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"45"	"Ale001"	1	"Bockemossen"	45	4	17,8	2	3	4	0	2	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"46"	"Ale001"	1	"Bockemossen"	46	3	17,8	2	2	3	0	2	0	50	0	0	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"47"	"Ale001"	1	"Bockemossen"	47	3	13,1	1	1	1	0	0	0	NA	1	0	0	"30/07/2010"	211	2010	0,285714286	1,285714286
