LokalID	Predator	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	h_shoot_mean	n_fl_mean	most_adv_mean	n_eggs_mean	n_intact_fruits_mean	attack_mean	h_shoot_sd	n_fl_sd	most_adv_sd	n_eggs_sd	n_intact_fruits_sd	attack_sd	h_shoot_sta	n_fl_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_sta	attack_sta	n_intact_fruits_rel
Ale001	1	Bockemossen	20	3	25,5	3	3,333333333	4	5	3	0	100	0	0	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,83573791	-0,321773714	0,20310096	0,752528503	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	21	3	40,5	8	2,875	4	1	0	0	NA	0	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	3,437661663	2,315715747	0,20310096	-0,311116024	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	22	2	30,3	5	2,2	4	0	1	0	NA	4	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,668353511	0,73322207	0,20310096	-0,577027156	2,002346518	-0,918331821	2,816901408
Ale001	1	Bockemossen	23	5	19	4	4	5	6	4	0	NA	0	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,291762384	0,205724178	1,049354961	1,018439635	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	24	4	24,2	3	4,333333333	5	13	3	0	NA	0	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,610237851	-0,321773714	1,049354961	2,879817558	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	25	4	28	7	3	4	4	7	0	50	0	210	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,269391868	1,788217854	0,20310096	0,486617371	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	26	3	18,5	5	4,6	5	12	5	0	NA	0	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,378493175	0,73322207	1,049354961	2,613906426	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	27	3	18,8	5	4,4	5	4	4	1	0	1	1120	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,3264547	0,73322207	1,049354961	0,486617371	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	28	3	20,5	4	3,5	5	8	3	1	NA	0	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,031570008	0,205724178	1,049354961	1,550261899	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	29	4	17,9	4	2,5	4	2	2	0	NA	2	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,482570125	0,205724178	0,20310096	-0,045204892	0,450139915	1,078041703	1,408450704
Ale001	1	Bockemossen	30	3	28,8	7	2,571428571	3	0	3	0	NA	4	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,408161135	1,788217854	-0,64315304	-0,577027156	2,002346518	-0,918331821	2,816901408
Ale001	1	Bockemossen	31	2	25,7	3	2,666666667	4	0	3	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,870430226	-0,321773714	0,20310096	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	32	2	17,8	3	3,666666667	5	0	1	0	NA	2	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,499916284	-0,321773714	1,049354961	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	33	2	17,7	3	1,333333333	2	0	2	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,517262442	-0,321773714	-1,489407041	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	34	4	18,3	3	2,666666667	4	2	1	1	NA	1	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,413185492	-0,321773714	0,20310096	-0,045204892	-0,325963387	1,078041703	0,704225352
