"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"Ale001.(Intercept)"	0.51	0.121755918530597	4.18870808216059	6.23006499863674e-05	"*"
"Ale001.most_adv"	0.192508220136506	0.122923113375267	1.56608643281597	0.120618901706173	""
"Ale001.n_fl"	0.203055588280331	0.123463287640712	1.6446637066011	0.103309981128307	""
"Ale001.h_shoot"	0.0667653453490692	0.122914016890394	0.543187400738888	0.588259824429528	""
"Göt009a.(Intercept)"	0.32	0.0853935116322544	3.74735730951169	0.000305131158413246	"*"
"Göt009a.most_adv"	0.0809291123927115	0.0890992644780405	0.908302811104095	0.365992821571234	""
"Göt009a.n_fl"	0.283618046578653	0.0888418968786427	3.19239071365251	0.0019080185057079	"*"
"Göt009a.h_shoot"	0.00118831048960755	0.0862943712319111	0.013770428738788	0.989041712242091	""
"Göt009b.(Intercept)"	0.27	0.0957624756310297	2.81947598180631	0.00584327003889649	"*"
"Göt009b.most_adv"	0.253967841751706	0.100756389598124	2.52061276475546	0.0133638371821027	"*"
"Göt009b.n_fl"	0.349645327627733	0.100943077418007	3.46378708249449	0.000797481653025339	"*"
"Göt009b.h_shoot"	-0.0319415134988644	0.0969579245714975	-0.32943685253195	0.742543208952591	""
"Göt016.(Intercept)"	0.02	0.0198994686614756	1.00505196094602	0.317398429603764	""
"Göt016.most_adv"	-0.0180384487735342	0.0205133490542749	-0.879351719985238	0.381406442644588	""
"Göt016.n_fl"	-0.0368342111837426	0.020136892672448	-1.82919042093026	0.0704754004122239	""
"Göt016.h_shoot"	0.00841050488395039	0.02046295633847	0.411011231458221	0.681980333221776	""
"Her003.(Intercept)"	0.94	0.15963026092975	5.88860780233689	5.72672761925609e-08	"*"
"Her003.most_adv"	0.383336445683693	0.171000304458377	2.24172960918324	0.0272816103438442	"*"
"Her003.n_fl"	0.125356440554935	0.184289503454501	0.680214761042448	0.498005644295814	""
"Her003.h_shoot"	-0.0258109572841569	0.173794939130659	-0.148513860146136	0.882248763708448	""
"Her004.(Intercept)"	2.68	0.389634898893062	6.87823397650924	6.15871610372152e-10	"*"
"Her004.most_adv"	0.381019620691452	0.408289557583168	0.933209320725375	0.353053135748258	""
"Her004.n_fl"	1.41982111216952	0.428292889012852	3.3150704776864	0.00129381272382576	"*"
"Her004.h_shoot"	0.860630294335739	0.418443011664047	2.05674433637503	0.0424236894944462	"*"
"Her005.(Intercept)"	0.87	0.174891319884946	4.97451789243936	2.86573471361443e-06	"*"
"Her005.most_adv"	0.434983153011354	0.183537040539392	2.3700019992313	0.0197879292941407	"*"
"Her005.n_fl"	0.290584419454231	0.182775720290017	1.58984146796495	0.11515852757292	""
"Her005.h_shoot"	-0.0474027438911813	0.182077791280444	-0.260343359603751	0.795156520984353	""
"Ler010.(Intercept)"	3.22	0.403447652603251	7.98120891080394	3.11340177985076e-12	"*"
"Ler010.most_adv"	0.313902505744482	0.412043869341807	0.761818168162302	0.448036087681594	""
"Ler010.n_fl"	0.856083848602711	0.405877188630632	2.10921892775253	0.0375278567151112	"*"
"Ler010.h_shoot"	0.30788261707476	0.412201719327214	0.746922204927429	0.456935974622522	""
"Par003.(Intercept)"	4.6	0.628184428166742	7.32269027015581	7.48443328618923e-11	"*"
"Par003.most_adv"	2.66050664855322	0.661949220868837	4.01920051369075	0.000116173775301859	"*"
"Par003.n_fl"	1.01028471316136	0.644511228478103	1.56752073279928	0.120283474051499	""
"Par003.h_shoot"	1.58214782486475	0.651621796506963	2.42801550430924	0.0170447425865894	"*"
"Vår004.(Intercept)"	3.99	0.485986174594648	8.21011009897141	1.01864692744764e-12	"*"
"Vår004.most_adv"	2.19188799080918	0.498251834708026	4.39915688839083	2.81362128221638e-05	"*"
"Vår004.n_fl"	1.7391635841178	0.492033422996507	3.53464521480313	0.000630180991141739	"*"
"Vår004.h_shoot"	-0.0401424110333511	0.494712962613935	-0.0811428324441896	0.935497291394921	""
"Vår009.(Intercept)"	0.772642615459776	0.200870757767863	3.84646637492493	0.000176718329220322	"*"
"Vår009.most_adv"	0.0734225738931536	0.205191416441461	0.357824782178939	0.720977452840801	""
"Vår009.n_fl"	0.358338657264456	0.21051339653546	1.70221308079125	0.0907869546058367	""
"Vår009.h_shoot"	-0.230194454900555	0.209255063359843	-1.1000663554062	0.273065529321422	""
