predator	LokalID	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	year	ants_10	ants_11	pred	ants_mean	ants_max	logants	area	Mean(n_shoots)	Mean(h_shoot)	Mean(n_fl)	Mean(phen_index)	Mean(most_adv)	Mean(n_eggs)	Std Dev(n_shoots)	Std Dev(h_shoot)	Std Dev(n_fl)	Std Dev(phen_index)	Std Dev(most_adv)	Std Dev(n_eggs)	Mean(n_intact_fruits)	n_shoots_sta	h_shoot_sta	n_fl_sta	phen_index_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_rel
1	Ale001	Bockemossen	16	3	20,6	3	3,33333333	5	5	3	0	NA	0	NA	1	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	0,1518935	0,03809073	1,09962412	1,72707943	3,63571512	0
1	Ale001	Bockemossen	17	3	26	3	3,33333333	4	0	1	0	100	2	690	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	1,08290927	0,03809073	1,09962412	0,75681009	-0,4129654	2,08333333
1	Ale001	Bockemossen	18	5	18,9	5	1,8	4	0	1	0	NA	4	1640	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,55750013	-0,1412041	1,30778175	-0,7902838	0,75681009	-0,4129654	4,16666667
1	Ale001	Bockemossen	19	3	19,2	5	1,6	3	0	2	0	NA	3	990	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	-0,089481	1,30778175	-1,0367935	-0,2134593	-0,4129654	3,125
1	Ale001	Bockemossen	20	3	19,1	2	3	4	0	2	0	100	1	240	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	-0,106722	-0,5967548	0,68877458	0,75681009	-0,4129654	1,04166667
1	Ale001	Bockemossen	21	9	16,9	1	4	4	0	0	0	NA	1	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	1,80331048	-0,4860247	-1,2316003	1,9213232	0,75681009	-0,4129654	1,04166667
1	Ale001	Bockemossen	22	3	10,3	1	2	2	0	0	0	NA	1	360	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	-1,6239329	-1,2316003	-0,543774	-1,1837286	-0,4129654	1,04166667
1	Ale001	Bockemossen	23	2	10,3	1	1	1	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	-1,6239329	-1,2316003	-1,7763227	-2,1539979	-0,4129654	0
1	Ale001	Bockemossen	24	1	13,1	1	3	3	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,6883102	-1,141184	-1,2316003	0,68877458	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	25	5	11,1	1	1	1	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,55750013	-1,4860046	-1,2316003	-1,7763227	-2,1539979	-0,4129654	0
1	Ale001	Bockemossen	26	6	11,2	1	3	3	0	0	0	NA	1	0	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,86895272	-1,4687636	-1,2316003	0,68877458	-0,2134593	-0,4129654	1,04166667
1	Ale001	Bockemossen	27	3	21,2	4	2,25	4	0	1	0	100	3	1305	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	0,25533969	0,67293624	-0,2356369	0,75681009	-0,4129654	3,125
1	Ale001	Bockemossen	28	10	15,2	3	2,66666667	4	0	1	0	100	2	590	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	2,11476307	-0,7791223	0,03809073	0,27792504	0,75681009	-0,4129654	2,08333333
1	Ale001	Bockemossen	29	1	10,2	1	2	2	0	0	0	NA	1	190	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,6883102	-1,6411739	-1,2316003	-0,543774	-1,1837286	-0,4129654	1,04166667
1	Ale001	Bockemossen	30	2	15,7	2	3,5	4	2	3	0	NA	0	NA	1	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	-0,6929171	-0,5967548	1,30504889	0,75681009	1,2065068	0
1	Ale001	Bockemossen	31	3	23,2	4	3	4	0	2	0	99	1	40	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	0,60016035	0,67293624	0,68877458	0,75681009	-0,4129654	1,04166667
1	Ale001	Bockemossen	32	3	24,1	3	3,33333333	4	0	1	0	100	2	1170	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	0,75532964	0,03809073	1,09962412	0,75681009	-0,4129654	2,08333333
1	Ale001	Bockemossen	33	3	24	3	2,66666667	4	0	1	0	0	2	900	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	0,73808861	0,03809073	0,27792504	0,75681009	-0,4129654	2,08333333
1	Ale001	Bockemossen	34	2	16	1	3	3	0	1	0	100	0	0	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	-0,641194	-1,2316003	0,68877458	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	35	9	19,5	3	1,66666667	3	0	0	0	NA	3	390	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	1,80331048	-0,0377579	0,03809073	-0,9546236	-0,2134593	-0,4129654	3,125
1	Ale001	Bockemossen	36	3	22,2	1	3	3	0	1	0	0	0	0	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	0,42775002	-1,2316003	0,68877458	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	37	3	14,1	1	3	3	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	-0,9687736	-1,2316003	0,68877458	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	38	1	13,4	1	2	2	0	0	0	NA	1	90	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,6883102	-1,0894609	-1,2316003	-0,543774	-1,1837286	-0,4129654	1,04166667
1	Ale001	Bockemossen	39	1	22,5	5	3,2	5	0	4	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,6883102	0,47947312	1,30778175	0,9352843	1,72707943	-0,4129654	0
1	Ale001	Bockemossen	40	2	15,9	1	3	3	0	1	0	100	0	0	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	-0,658435	-1,2316003	0,68877458	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	41	2	21,6	4	2,25	3	0	3	0	NA	2	740	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	0,32430383	0,67293624	-0,2356369	-0,2134593	-0,4129654	2,08333333
1	Ale001	Bockemossen	42	2	13,6	2	2,5	4	0	2	0	100	0	0	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	-1,0549788	-0,5967548	0,07250027	0,75681009	-0,4129654	0
1	Ale001	Bockemossen	43	2	14	1	1	1	0	0	0	NA	1	420	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	-0,9860147	-1,2316003	-1,7763227	-2,1539979	-0,4129654	1,04166667
1	Ale001	Bockemossen	44	5	13,9	2	2	3	0	1	0	NA	1	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,55750013	-1,0032557	-0,5967548	-0,543774	-0,2134593	-0,4129654	1,04166667
1	Ale001	Bockemossen	45	4	17,8	2	3	4	0	2	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,24604754	-0,3308554	-0,5967548	0,68877458	0,75681009	-0,4129654	0
1	Ale001	Bockemossen	46	3	17,8	2	2	3	0	2	0	50	0	0	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	-0,3308554	-0,5967548	-0,543774	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	47	3	13,1	1	1	1	0	0	0	NA	1	0	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	-1,141184	-1,2316003	-1,7763227	-2,1539979	-0,4129654	1,04166667
1	Ale001	Bockemossen	48	3	17,4	2	2,5	3	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	-0,3998195	-0,5967548	0,07250027	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	49	1	16,3	1	2	2	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,6883102	-0,5894709	-1,2316003	-0,543774	-1,1837286	-0,4129654	0
1	Ale001	Bockemossen	50	1	17	2	1,5	2	0	1	0	NA	1	300	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,6883102	-0,4687837	-0,5967548	-1,1600483	-1,1837286	-0,4129654	1,04166667
