"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"(Intercept)"	0.11	0.050915597998574	2.16043814320085	0.0332544178732151	"*"
"phen_index"	-0.085977776877709	0.0516902216130648	-1.66332768935117	0.0995425664601439	""
"n_fl"	0.0580731684847203	0.0663277351408559	0.875548793598849	0.383483737191224	""
"n_shoots"	-0.0342462168151323	0.0517047771346066	-0.662341445278388	0.509356063669177	""
"h_shoot"	-0.00566132445752132	0.0668852675907986	-0.084642323510718	0.932723867987793	""
"(Intercept)1"	0.14	0.0392269959418326	3.56897072127567	0.000564076739021461	"*"
"phen_index1"	-0.0112281845178698	0.0411043054359245	-0.273163222168365	0.785320699099638	""
"n_fl1"	0.120348259525627	0.0456043270749859	2.63896580093687	0.00971927283775386	"*"
"n_shoots1"	-0.000124143991361127	0.0397661027980114	-0.00312185461048839	0.997515670691283	""
"h_shoot1"	-0.115314213574601	0.0460746603856208	-2.50276860663717	0.0140303130371384	"*"
"(Intercept)2"	0.2	0.0466968246492859	4.28294646374972	4.41227156470529e-05	"*"
"phen_index2"	-0.128773878342303	0.0491451019606848	-2.62027899434048	0.0102294104543091	"*"
"n_fl2"	0.216563763492772	0.0533421755110881	4.05989747170613	0.000100855152394121	"*"
"n_shoots2"	-0.0245949385871109	0.0498890459131908	-0.492992762978615	0.623155321674524	""
"h_shoot2"	-0.0427311893078532	0.0537096830334797	-0.795595633681489	0.428250536117398	""
"(Intercept)3"	0.23	0.0698186851364681	3.29424708515264	0.00138754216564678	"*"
"phen_index3"	-0.135335104571987	0.0721102701883535	-1.87677988473055	0.0636173795260778	""
"n_fl3"	0.23582765160008	0.0709627383267941	3.32326030760057	0.00126456375586464	"*"
"n_shoots3"	-0.0511624551759468	0.0719456739747981	-0.71112621995686	0.478748423954852	""
"h_shoot3"	-0.169275325967435	0.0711944025939367	-2.37764936287072	0.0194264485955822	"*"
"(Intercept)4"	0.12	0.0319618184507899	3.75447974541119	0.000299217847126481	"*"
"phen_index4"	-0.0476934016373411	0.036171912336073	-1.31852032577714	0.190499482336428	""
"n_fl4"	0.0776208035900345	0.0512020477259843	1.51597068940356	0.132847236565814	""
"n_shoots4"	-0.080850236758801	0.0364422540433517	-2.21858496081558	0.0288965918916439	"*"
"h_shoot4"	0.036611404337996	0.0469406733938591	0.779950556541986	0.437358871334308	""
"(Intercept)5"	0.08	0.0270644963880495	2.95590203685906	0.00393177262191798	"*"
"phen_index5"	-0.0639900965102138	0.0283675629400781	-2.25574881583527	0.026380537789147	"*"
"n_fl5"	-0.0189789454042318	0.0376804087727594	-0.503682046516236	0.615650829275485	""
"n_shoots5"	0.0202974900184105	0.0300116418106465	0.676320547422038	0.500480442148373	""
"h_shoot5"	0.0287161798437742	0.0374384958356796	0.767022798400118	0.44496998438719	""
"(Intercept)6"	0.07	0.0256042082145638	2.73392558806734	0.00746571849635418	"*"
"phen_index6"	-0.00911990901357669	0.0272034539946751	-0.335248201032188	0.738177032916616	""
"n_fl6"	-0.0121391809603656	0.0311671750815391	-0.389486083631491	0.697788354904276	""
"n_shoots6"	0.053009874994281	0.0268290191757214	1.97584095963715	0.0510738638919624	""
"h_shoot6"	0.00158604376008972	0.0314743377508715	0.0503916483531351	0.959916091359091	""
"(Intercept)7"	0.01	0.00969425721806438	1.0315385464877	0.304907353441549	""
"phen_index7"	-0.0121678016341901	0.0101893093932274	-1.1941733403716	0.235383394422472	""
"n_fl7"	-0.0232747562974251	0.0123333284235249	-1.88714315375161	0.0621942230777165	""
"n_shoots7"	0.0126545341374033	0.00992858981886807	1.27455503432672	0.205575550367607	""
"h_shoot7"	0.033931287117323	0.0121150874401582	2.80074636563086	0.00617736836954509	"*"
"(Intercept)8"	0.05	0.0258975361642218	1.93068559429513	0.0565037572435396	""
"phen_index8"	0.0198779384508499	0.0273165218429425	0.727689219188991	0.468593537305162	""
"n_fl8"	0.0385249284249088	0.0282847087079561	1.362040840607	0.176405926970118	""
"n_shoots8"	-0.0234918682673659	0.0275670942869178	-0.852170635862562	0.396262602450711	""
"h_shoot8"	0.03184103355915	0.0280510737223784	1.13510926085328	0.259185353196833	""
"(Intercept)9"	0.16	0.0370377273911647	4.31991947859544	3.83749388514315e-05	"*"
"phen_index9"	-0.142776836287813	0.0379915595200055	-3.75811991115105	0.000295457779749342	"*"
"n_fl9"	-0.0302236819220157	0.0456645504224097	-0.6618631223222	0.509661235733773	""
"n_shoots9"	0.0366292002747058	0.0377047094820298	0.971475467598111	0.333778580736017	""
"h_shoot9"	0.065373846633828	0.0457938489261837	1.42756829064982	0.156695102641669	""
