LokalID	date	date_julian	most_adv	phen_corr	year
Ale010	04/08/2010	216	5	0,023148148	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	5	0,023148148	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	4	0,018518519	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	2	0,009259259	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	1	0,00462963	2010
Ale010	04/08/2010	216	3	0,013888889	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	4	0,019047619	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	5	0,023809524	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	1	0,004761905	2010
Bor012	29/07/2010	210	2	0,00952381	2010
Bor012	29/07/2010	210	3	0,014285714	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
