"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"Ale001.(Intercept)"	0.810183516983122	0.271795494893352	2.98085704952919	0.0125003437036766	"*"
"Ale001.phen_index"	1.03955662363412	0.418352721386755	2.4848807489245	0.0303098151727451	"*"
"Ale001.n_fl"	0.413308379415651	0.368807049098613	1.12066290605291	0.286301818433571	""
"Ale001.n_shoots"	0.502411882831111	0.368956257584294	1.36171123948569	0.200525991177462	""
"Ale001.h_shoot"	-0.594541071683196	0.390561486573734	-1.52227265647442	0.156156042416632	""
"Ale010.(Intercept)"	0.146533347883404	0.396744672018771	0.369339170045543	0.730595872316296	""
"Ale010.phen_index"	0.588753138618828	0.324821785371049	1.8125420311519	0.144120747845325	""
"Ale010.n_fl"	1.08243845556176	0.35136128136375	3.08069930574154	0.0369064805911591	"*"
"Ale010.n_shoots"	0.0450946824298134	0.354086007633094	0.127355166421998	0.904805009568725	""
"Ale010.h_shoot"	-0.659946453081033	0.629394884874548	-1.04854117651842	0.353563385566009	""
"Bor012.(Intercept)"	1.20233381006505	0.552468030354457	2.17629572030375	0.0724303286316674	""
"Bor012.phen_index"	-0.34162989529855	0.704862748715142	-0.484675769745655	0.645091765733982	""
"Bor012.n_shoots"	0.091725995792852	0.224078038791457	0.409348440782361	0.696495959743986	""
"Bor012.h_shoot"	-0.0338421662893539	0.291523538982492	-0.116087251161514	0.911371354311902	""
"Göt009a.(Intercept)"	1.04130655148559	0.48780516258838	2.13467718537506	0.0653155650749862	""
"Göt009a.phen_index"	-0.238016180763437	0.403786133249768	-0.589461007112417	0.571818937586063	""
"Göt009a.n_fl"	-0.469729219308026	0.486058973117881	-0.966403760216366	0.362144519853347	""
"Göt009a.n_shoots"	0.220085209346269	0.386745132965443	0.56907040473586	0.584926733056295	""
"Göt009a.h_shoot"	0.177199752713803	0.618906066932756	0.286311222625413	0.781914268051883	""
"Göt009b.(Intercept)"	0.773869234675209	0.326622689253498	2.36930642033443	0.0371974208742619	"*"
"Göt009b.phen_index"	0.27141389139999	0.403374457528983	0.672858398279936	0.514924060554588	""
"Göt009b.n_fl"	1.00400124014839	0.601896029890566	1.66806423416838	0.123486988565004	""
"Göt009b.n_shoots"	0.173960095050984	0.31193734382939	0.557676400380358	0.588234563242335	""
"Göt009b.h_shoot"	-0.930976980259374	0.810159611062766	-1.14912786017328	0.274876405222843	""
"Göt016.(Intercept)"	0.868225609948286	0.429337105054337	2.02224685387582	0.113207612893669	""
"Göt016.phen_index"	1.02562809456391	0.483876779333133	2.11960593764678	0.101387050192187	""
"Göt016.n_fl"	2.43362985056116	0.425337738454319	5.72164101733599	0.00461770850663918	"*"
"Göt016.n_shoots"	-1.24084102305645	0.318135089718588	-3.90035888261827	0.0175361443562305	"*"
"Göt016.h_shoot"	-0.397384771381514	0.344429375978561	-1.1537481965715	0.312848121724627	""
"Her003.(Intercept)"	1.55890320444605	0.430961445449111	3.61726836798938	0.00404575480652399	"*"
"Her003.phen_index"	-0.15434454991085	0.308367477650684	-0.500521491717393	0.626570824297953	""
"Her003.n_fl"	3.16958391426037	0.576911420527121	5.49405645560689	0.000187911625650525	"*"
"Her003.n_shoots"	1.16311936496386	1.29299884237148	0.899551745019811	0.387627349006174	""
"Her003.h_shoot"	-1.84630016749345	0.488908794452887	-3.77636931149818	0.00306632192186898	"*"
"Her004.(Intercept)"	0.792374058747791	1.12791500513026	0.702512206277707	0.502285549018841	""
"Her004.phen_index"	0.0224157049460833	0.857879694702518	0.0261291939703227	0.979794319098415	""
"Her004.n_fl"	-0.63640534475546	0.733335311073421	-0.867823129673001	0.410766219437823	""
"Her004.n_shoots"	-0.257429403241101	1.51254689560573	-0.170195981353694	0.869081425372632	""
"Her004.h_shoot"	0.942775129957608	1.13116690092169	0.833453603698465	0.428769514167263	""
"Her005.(Intercept)"	-0.0535344361193902	0.572704118293339	-0.0934766040777271	0.927371274549105	""
"Her005.phen_index"	1.52909111107765	0.649859072246584	2.35295801256037	0.0404361132013321	"*"
"Her005.n_fl"	0.896118429776098	0.557557006484356	1.60722297335392	0.139085232501536	""
"Her005.n_shoots"	-0.419957812927476	0.528601355289783	-0.794469799831013	0.445366997327866	""
"Her005.h_shoot"	-1.61347244898501	0.85299614091124	-1.89153546141647	0.0878395058877436	""
