"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"Ale001.(Intercept)"	1	0.0759901875572712	13.1595937863206	3.23880120177248e-23	"*"
"Ale001.most_adv"	-0.128687488316174	0.0964696886670315	-1.33396811054655	0.185370339748941	""
"Ale001.n_fl"	0.766465154781603	0.126004254583023	6.08285138718538	2.40231819757926e-08	"*"
"Ale001.h_shoot"	-0.345749476369372	0.108259494286889	-3.19371043294487	0.0019001609962109	"*"
"Ale010.(Intercept)"	0.999999999999999	0.0938626999335468	10.6538593148075	5.89939636775412e-18	"*"
"Ale010.most_adv"	0.368275312171778	0.109798875512409	3.35409001643333	0.00114110251770178	"*"
"Ale010.n_fl"	0.246889794069195	0.108160554153572	2.2826232354417	0.0246593773466626	"*"
"Ale010.h_shoot"	0.156362695779923	0.113276529537975	1.38036269664763	0.170680791662911	""
"Bor012.(Intercept)"	1	0.0744389955508733	13.4338190970965	8.91399783478973e-24	"*"
"Bor012.most_adv"	0.234240733343586	0.0775189742725192	3.02172126942893	0.0032219529481275	"*"
"Bor012.n_fl"	0.247088682559924	0.0777788402802854	3.17681109244506	0.00200309764686893	"*"
"Bor012.h_shoot"	0.121208794971263	0.0786200214826507	1.54170391568783	0.126435544680708	""
"Göt009a.(Intercept)"	1	0.123166319708665	8.11910270896605	1.5892719449347e-12	"*"
"Göt009a.most_adv"	0.0466901446631079	0.156886337123954	0.297604912696882	0.76664779682003	""
"Göt009a.n_fl"	0.411125701014251	0.176704145527519	2.32663302712513	0.0220875371306208	"*"
"Göt009a.h_shoot"	0.0153721087260844	0.146114786147906	0.10520570252571	0.916432092541534	""
"Göt009b.(Intercept)"	0.999999999999999	0.105413166886821	9.4864809542594	1.88736389753408e-15	"*"
"Göt009b.most_adv"	-0.00332719793369622	0.130647064662387	-0.0254670699437009	0.979735277744368	""
"Göt009b.n_fl"	0.262530217465542	0.181810350751646	1.44397838946012	0.152000736417252	""
"Göt009b.h_shoot"	0.304893367311639	0.188841266307742	1.61454841557127	0.109690704871128	""
"Göt016.(Intercept)"	1	0.214453791482608	4.6630091876044	1.00629136159259e-05	"*"
"Göt016.most_adv"	-0.000987604873536556	0.267386685168403	-0.00369354544679198	0.997060648282377	""
"Göt016.n_fl"	0.473901711061212	0.282574354165739	1.67708677052572	0.0967788707972103	""
"Göt016.h_shoot"	-0.0778432902645551	0.237754044909501	-0.327411002804118	0.744069943657557	""
"Her003.(Intercept)"	1	0.199458854713896	5.0135653362414	2.44085681607703e-06	"*"
"Her003.most_adv"	-0.270815967522398	0.226520196493466	-1.19554888135641	0.234817527374697	""
"Her003.n_fl"	1.07587134315403	0.286728634723454	3.75222845877145	0.00030000977348051	"*"
"Her003.h_shoot"	-0.157442636504452	0.262508556919083	-0.599761921486558	0.550077929716903	""
"Her004.(Intercept)"	1	0.205288276348034	4.87119877369256	4.3677564024459e-06	"*"
"Her004.most_adv"	-0.286599629791163	0.271221912558799	-1.05669791606174	0.293301387322682	""
"Her004.n_fl"	0.525177767601675	0.303300525755251	1.73154255599764	0.0865673682191085	""
"Her004.h_shoot"	0.00104339898399638	0.285860120482949	0.00365003338777582	0.997095275355452	""
"Her005.(Intercept)"	1	0.154059386035294	6.49100340936647	3.73813022074444e-09	"*"
"Her005.most_adv"	0.215091876621943	0.186722779143139	1.1519316368843	0.252209819535838	""
"Her005.n_fl"	0.221843919612058	0.224455274551933	0.988365811651841	0.325458113360936	""
"Her005.h_shoot"	-0.466510231723188	0.192568717224826	-2.4225649858722	0.0172872195374426	"*"
"Ler010.(Intercept)"	1.00666006118929	0.121250141245417	8.30234134863191	6.9156015826949e-13	"*"
"Ler010.most_adv"	-0.153768862776795	0.136256354278368	-1.12852617840229	0.261939638338665	""
"Ler010.n_fl"	0.668337721640018	0.159193295548874	4.19827807028991	6.05766010222434e-05	"*"
"Ler010.h_shoot"	-0.0946057298190005	0.143469591591577	-0.659413111653095	0.511225875989747	""
"Par003.(Intercept)"	1	0.183645744063016	5.44526640190944	3.97157580214523e-07	"*"
"Par003.most_adv"	-0.473446281749352	0.203030458998423	-2.33189780530925	0.0217963222151656	"*"
"Par003.n_fl"	0.000377136242677559	0.226255414375679	0.00166686063057636	0.998673497133924	""
"Par003.h_shoot"	-0.418140580338966	0.220681741801793	-1.89476744621004	0.0611326147461913	""
"Sve013.(Intercept)"	0.999999999999999	0.191835112779852	5.21281002997396	1.06561192253662e-06	"*"
"Sve013.most_adv"	0.440039746339869	0.223172276541545	1.9717491489493	0.0515164845246128	""
"Sve013.n_fl"	-0.0193839960788834	0.214505680786118	-0.0903658868513187	0.9281847404941	""
"Sve013.h_shoot"	-0.244124445780724	0.225294410222124	-1.08357968375707	0.281265191718292	""
"Tra001.(Intercept)"	1.0115421217991	0.248820809165313	4.06534375156316	9.88712088827339e-05	"*"
"Tra001.most_adv"	0.315035386162304	0.284450149014189	1.10752406793989	0.270863734191624	""
"Tra001.n_fl"	0.053018291960535	0.326819472469458	0.162225009299254	0.871473215306162	""
"Tra001.h_shoot"	0.722710329182208	0.319530821951886	2.26178596721111	0.0259905002989715	"*"
"Tra002.(Intercept)"	1	0.0727995846555274	13.7363421059583	2.16832921392006e-24	"*"
"Tra002.most_adv"	0.132687181786596	0.0894951556317265	1.48261859371031	0.14145118414501	""
"Tra002.n_fl"	0.481982247407877	0.0990367377155068	4.86670157484811	4.4481405726758e-06	"*"
"Tra002.h_shoot"	0.200144634351904	0.0849136048085684	2.35703848403464	0.0204519935724937	"*"
"Vår004.(Intercept)"	1	0.14742974276884	6.7828918454259	9.63086342371998e-10	"*"
"Vår004.most_adv"	0.0731050057568465	0.173711228389299	0.420842143796329	0.674810997069344	""
"Vår004.n_fl"	0.136888654845926	0.187981715391839	0.728201966667815	0.468262493290027	""
"Vår004.h_shoot"	0.113796998843533	0.164924203520057	0.689995746013675	0.491861550773053	""
"Vår009.(Intercept)"	1	0.149031656324281	6.70998380252903	1.35387005440682e-09	"*"
"Vår009.most_adv"	-0.0766716971110524	0.229464883485465	-0.334132595569505	0.739008333599654	""
"Vår009.n_fl"	1.38043827608683	0.256900641864609	5.37343256936798	5.39984868558398e-07	"*"
"Vår009.h_shoot"	-0.374095985468371	0.214214969957018	-1.74635780843623	0.0839475003772578	""
